shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_9024,37.82943,-122.28794,41,2570.57376514
p_9024,37.82934,-122.28835,42,2608.02515599
p_9024,37.8293,-122.28859,43,2629.61512968
p_9024,37.82927,-122.2887,44,2639.85553742
p_9024,37.82923,-122.2889,45,2658.01380642
p_9024,37.82918,-122.28912,46,2678.16109311
p_9024,37.82912,-122.28928,47,2693.74179008
p_9024,37.82904,-122.28942,48,2708.93228546
p_9024,37.829,-122.28958,49,2723.70116531
p_9024,37.82895,-122.28977,50,2741.32462222
p_9024,37.82891,-122.28995,51,2757.78131414
p_9024,37.82867,-122.29113,52,2865.02514168
p_9024,37.82863,-122.29133,53,2883.18354882
p_9024,37.82861,-122.29153,54,2900.93022745
p_9024,37.82862,-122.29173,55,2918.57247205
p_9024,37.82865,-122.29192,56,2935.62760618
p_9024,37.82871,-122.29211,57,2953.63149206
p_9024,37.8288,-122.2923,58,2973.11423025
p_9024,37.8289,-122.29246,59,2991.04756559
p_9024,37.82898,-122.29257,60,3004.1862136
p_9024,37.82908,-122.29266,61,3017.82339475
p_9024,37.82918,-122.29273,62,3030.51873018
p_9024,37.82929,-122.29279,63,3043.82162504
p_9024,37.82941,-122.29284,64,3057.84932943
p_9024,37.82953,-122.29285,65,3071.19758225
p_9024,37.82964,-122.29284,66,3083.43853818
p_9024,37.82979,-122.29285,67,3100.11078571
p_9024,37.83001,-122.29287,68,3124.59269834
p_9024,37.83006,-122.29287,69,3130.14236148
p_9024,37.83035,-122.29288,70,3162.34244515
p_9024,37.83041,-122.29289,71,3169.05997641
p_9024,37.8305,-122.2929,72,3179.08808707
p_9024,37.83132,-122.29293,73,3270.14088586
p_9024,37.83148,-122.29294,74,3287.92161821
p_9024,37.83162,-122.29295,75,3303.48559557
p_9024,37.8319,-122.29299,76,3334.76257325
p_9024,37.83204,-122.29302,77,3350.52446376
p_9024,37.83223,-122.29306,78,3371.90515416
p_9024,37.83239,-122.29311,79,3390.20142911
p_9024,37.83253,-122.29316,80,3406.35186339
p_9024,37.83266,-122.29321,81,3421.43741201
p_9024,37.83292,-122.29332,82,3451.87700474
p_9024,37.83303,-122.29336,83,3464.58390707
p_9024,37.83316,-122.29339,84,3479.25273036
p_9024,37.83327,-122.29342,85,3491.74435465
p_9024,37.83349,-122.29346,86,3516.41546671
p_9024,37.83359,-122.29349,87,3527.82465786
p_9024,37.83387,-122.29345,88,3559.10163535
p_9024,37.834,-122.29341,89,3573.95420394
p_9024,37.83402,-122.2934,90,3576.34224449
p_9024,37.83412,-122.29337,91,3587.75143224
p_9024,37.83436,-122.29323,92,3617.10257632
p_9024,37.83438,-122.29322,93,3619.49061542
p_9024,37.83448,-122.29315,94,3632.18574563
p_9024,37.83463,-122.29307,95,3650.26291404
p_9024,37.83474,-122.29301,96,3663.56566503
p_9024,37.83481,-122.29298,97,3671.77175351
p_9024,37.83496,-122.29293,98,3688.99273142
p_9024,37.83518,-122.29289,99,3713.66383897
p_9024,37.8353,-122.29288,100,3727.01210032
p_9024,37.83541,-122.29288,101,3739.22137029
p_9024,37.8358,-122.29292,102,3782.65175718
p_9024,37.83648,-122.29298,103,3858.31182935
p_9024,37.83693,-122.29302,104,3908.38281167
p_9024,37.83716,-122.29304,105,3933.97192656
p_9024,37.83744,-122.29308,106,3965.24890372
p_9024,37.83754,-122.29309,107,3976.38309489
p_9024,37.8379,-122.29314,108,4016.58238888
p_9024,37.83804,-122.29315,109,4032.14637888
p_9024,37.83838,-122.29319,110,4070.04804288
p_9024,37.83852,-122.29321,111,4085.68653141
p_9024,37.83862,-122.29324,112,4097.0956903
p_9024,37.83865,-122.29324,113,4100.42549306
p_9024,37.83881,-122.29329,114,4118.72169509
p_9024,37.83889,-122.29332,115,4127.98552349
p_9024,37.83896,-122.29333,116,4135.80476774
p_9024,37.83938,-122.29345,117,4183.60373845
p_9024,37.83948,-122.29346,118,4194.73793146
p_9024,37.83976,-122.29353,119,4226.42101967
p_9024,37.83982,-122.29359,120,4234.92063513
p_9024,37.84001,-122.29353,121,4256.66065837
p_9024,37.84033,-122.29345,122,4292.86989513
p_9024,37.84041,-122.29342,123,4302.13371029
p_9024,37.84069,-122.29334,124,4333.99966889
p_9024,37.84076,-122.29335,125,4341.8189131
p_9024,37.84086,-122.29332,126,4353.22805762
p_9024,37.840952218927,-122.29325205088,127,4365.0830983
p_9024,37.8409221997686,-122.293308355671,128,4371.05504963
p_9024,37.8409696951524,-122.293300336698,129,4376.37377122
p_9024,37.841093183007,-122.293304346185,130,4390.08465969
p_9024,37.841223003349,-122.293340431564,131,4404.83980049
p_9024,37.8416504589585,-122.293476754107,132,4453.77843881
p_9024,37.8418974321905,-122.293544915384,133,4481.83973074
p_9024,37.842231151893,-122.293645550503,134,4519.92487036
p_9024,37.8423229746448,-122.29362550307,135,4530.26822876
p_9024,37.8424432939389,-122.293569370258,136,4544.50756122
p_9024,37.8426047747987,-122.293441066697,137,4565.6920747
p_9024,37.8427029296517,-122.293380924398,138,4577.80465625
p_9024,37.8428327419158,-122.293365603785,139,4592.2759423
p_9024,37.8429973881832,-122.293389660705,140,4610.67287539
p_9024,37.84316,-122.29345,141,4629.48691704
p_9024,37.84367,-122.29362,142,4688.03788099
p_9024,37.844,-122.29372,143,4725.70846238
p_9024,37.84436,-122.29385,144,4767.27217906
p_9024,37.84474,-122.29407,145,4813.68235314
p_9024,37.84502,-122.29425,146,4848.56583665
p_9024,37.84592,-122.29451,147,4951.04774285
p_9024,37.84617,-122.29458,148,4979.47189486
p_9024,37.84618,-122.29538,149,5049.89312977
p_9024,37.84619,-122.29565,150,5073.68324734
p_9024,37.84618,-122.29646,151,5144.98452073
p_9024,37.84597,-122.29646,152,5168.29316957
p_9024,37.84587,-122.29644,153,5179.53124906
p_9024,37.84567,-122.29638,154,5202.34947449
p_9024,37.84374,-122.29577,155,5423.19292647
p_9024,37.8436,-122.29572,156,5439.34320776
p_9024,37.84302,-122.29555,157,5505.43555477
p_9024,37.84277,-122.29547,158,5534.06344277
p_9024,37.84268,-122.29544,159,5544.39597097
p_9024,37.84259,-122.29541,160,5554.72849984
p_9024,37.84235,-122.29534,161,5582.07021372
p_9024,37.84227,-122.29531,162,5591.33401197
p_9024,37.84176,-122.29515,163,5649.66629444
p_9024,37.84052,-122.29477,164,5791.30429788
p_9024,37.84051,-122.29476,165,5792.72089521
p_9024,37.84043,-122.29474,166,5801.77320346
p_9024,37.84032,-122.29472,167,5814.10875016
p_9024,37.84023,-122.29472,168,5824.09816123
p_9024,37.84012,-122.29475,169,5836.58974721
p_9024,37.83981,-122.29486,170,5872.33411376
p_9024,37.83965,-122.29492,171,5890.86175523
p_9024,37.83949,-122.29497,172,5909.15794772
p_9024,37.83942,-122.29498,173,5916.97719196
p_9024,37.83937,-122.29497,174,5922.59623776
p_9024,37.83929,-122.29494,175,5931.86006198
p_9024,37.83898,-122.29484,176,5967.37611812
p_9024,37.83852,-122.29471,177,6019.69973754
p_9024,37.83839,-122.29539,178,6081.27118455
p_9024,37.83835,-122.29557,179,6097.72593424
