route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"394",3,392,"Westbound Pittsburg-Bay Point BART",1,306,74
"392",3,393,"Eastbound Antioch BART",0,306,62
"395",3,394,"Loop Antioch BART",0,306,73
"393",3,395,"Eastbound Brentwood Park & Ride",0,306,70
"393",3,396,"Westbound Antioch BART",1,306,69
"394",3,397,"Westbound Pittsburg-Bay Point BART",1,306,74
"392",3,398,"Eastbound Antioch BART",0,306,62
"394",3,399,"Eastbound Antioch BART",0,307,68
"392",3,400,"Westbound Pittsburg-Bay Point BART",1,307,71
"394",3,401,"Eastbound Antioch BART",0,307,68
"392",3,402,"Westbound Pittsburg-Bay Point BART",1,307,71
"394",3,403,"Eastbound Antioch BART",0,307,68
"394",3,404,"Eastbound Antioch BART",0,307,68
"392",3,405,"Westbound Pittsburg-Bay Point BART",1,307,71
"396",3,406,"Eastbound Delta Fair Kaiser",0,307,89
"392",3,407,"Eastbound Antioch BART",0,308,62
"395",3,408,"Loop Antioch BART",0,308,73
"393",3,409,"Eastbound Brentwood Park & Ride",0,308,70
"393",3,410,"Westbound Antioch BART",1,308,69
"394",3,411,"Westbound Pittsburg-Bay Point BART",1,308,74
"392",3,412,"Eastbound Antioch BART",0,308,62
"395",3,413,"Loop Antioch BART",0,308,73
"393",3,414,"Eastbound Brentwood Park & Ride",0,308,70
"393",3,415,"Westbound Antioch BART",1,308,69
"393",3,416,"Eastbound Brentwood Park & Ride",0,308,70
"393",3,417,"Westbound Antioch BART",1,308,69
"393",3,418,"Eastbound Brentwood Park & Ride",0,308,70
"393",3,419,"Eastbound Brentwood Park & Ride",0,308,70
"392",3,420,"Westbound Pittsburg-Bay Point BART",1,309,71
"394",3,421,"Eastbound Antioch BART",0,309,68
"392",3,422,"Westbound Pittsburg-Bay Point BART",1,309,71
"394",3,423,"Eastbound Antioch BART",0,309,68
"392",3,424,"Westbound Pittsburg-Bay Point BART",1,309,71
"394",3,425,"Eastbound Antioch BART",0,309,68
"395",3,426,"Loop Antioch BART",0,309,73
"392",3,427,"Eastbound Antioch BART",0,310,87
"396",3,428,"Westbound Pacifica",1,310,81
"396",3,429,"Eastbound Delta Fair Kaiser",0,310,78
"396",3,430,"Westbound Pacifica",1,310,81
"396",3,431,"Eastbound Delta Fair Kaiser",0,310,78
"396",3,432,"Westbound Pacifica",1,310,81
"396",3,433,"Eastbound Delta Fair Kaiser",0,310,78
"396",3,434,"Westbound Pacifica",1,310,81
"396",3,435,"Eastbound Delta Fair Kaiser",0,310,78
"396",3,436,"Westbound Pacifica",1,310,81
"396",3,437,"Eastbound Delta Fair Kaiser",0,310,78
"396",3,438,"Westbound Pacifica",1,310,81
"396",3,439,"Eastbound Delta Fair Kaiser",0,310,78
"396",3,440,"Eastbound Pittsburg-Bay Point BART",1,310,90
"396",3,441,"Eastbound Delta Fair Kaiser",0,310,89
"393",3,442,"Eastbound Brentwood Park & Ride",0,311,70
"393",3,443,"Westbound Antioch BART",1,311,69
"394",3,444,"Westbound Pittsburg-Bay Point BART",1,311,74
"392",3,445,"Eastbound Antioch BART",0,311,62
"395",3,446,"Loop Antioch BART",0,311,73
