id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
POINT (-122.4093492 37.7946971)_POINT (-122.401642 37.789213),,POINT (-122.4093492 37.7946971),POINT (-122.401642 37.789213),912.3452558136951,1,1,-1,-1,-1,,"LINESTRING (-122.4093492 37.7946971, -122.401642 37.789213)",auto,1,True
POINT (-122.403475 37.7904975)_POINT (-122.401642 37.789213),,POINT (-122.403475 37.7904975),POINT (-122.401642 37.789213),215.51883405287288,1,1,-1,-1,-1,,"LINESTRING (-122.403475 37.7904975, -122.401642 37.789213)",auto,1,True
POINT (-122.403475 37.7904975)_POINT (-122.39708 37.792789),,POINT (-122.403475 37.7904975),POINT (-122.39708 37.792789),617.6975521820688,1,1,-1,-1,-1,,"LINESTRING (-122.403475 37.7904975, -122.39708 37.792789)",auto,1,True
POINT (-122.403475 37.7904975)_POINT (-122.407387 37.784645),,POINT (-122.403475 37.7904975),POINT (-122.407387 37.784645),736.8121491583425,1,1,-1,-1,-1,,"LINESTRING (-122.403475 37.7904975, -122.407387 37.784645)",auto,1,True
POINT (-122.4061645 37.7933506)_POINT (-122.401642 37.789213),,POINT (-122.4061645 37.7933506),POINT (-122.401642 37.789213),608.6283525917913,1,1,-1,-1,-1,,"LINESTRING (-122.4061645 37.7933506, -122.401642 37.789213)",auto,1,True
POINT (-122.4061645 37.7933506)_POINT (-122.39708 37.792789),,POINT (-122.4061645 37.7933506),POINT (-122.39708 37.792789),801.5860565174241,1,1,-1,-1,-1,,"LINESTRING (-122.4061645 37.7933506, -122.39708 37.792789)",auto,1,True
POINT (-122.4061645 37.7933506)_POINT (-122.407387 37.784645),,POINT (-122.4061645 37.7933506),POINT (-122.407387 37.784645),975.0522227610164,1,1,-1,-1,-1,,"LINESTRING (-122.4061645 37.7933506, -122.407387 37.784645)",auto,1,True
POINT (-122.4118881 37.7888066)_POINT (-122.407387 37.784645),,POINT (-122.4118881 37.7888066),POINT (-122.407387 37.784645),609.4437288420173,1,1,-1,-1,-1,,"LINESTRING (-122.4118881 37.7888066, -122.407387 37.784645)",auto,1,True
POINT (-122.4118881 37.7888066)_POINT (-122.401642 37.789213),,POINT (-122.4118881 37.7888066),POINT (-122.401642 37.789213),902.5120779863557,1,1,-1,-1,-1,,"LINESTRING (-122.4118881 37.7888066, -122.401642 37.789213)",auto,1,True
POINT (-122.275884 37.8583735)_POINT (-122.26975 37.853069),,POINT (-122.275884 37.8583735),POINT (-122.26975 37.853069),799.5951588830741,1,1,-1,-1,-1,,"LINESTRING (-122.275884 37.8583735, -122.26975 37.853069)",auto,1,True
POINT (-122.268048 37.8593612)_POINT (-122.26975 37.853069),,POINT (-122.268048 37.8593612),POINT (-122.26975 37.853069),716.2406413927258,1,1,-1,-1,-1,,"LINESTRING (-122.268048 37.8593612, -122.26975 37.853069)",auto,1,True
POINT (-122.4224915 37.7823391)_POINT (-122.413879 37.77945),,POINT (-122.4224915 37.7823391),POINT (-122.413879 37.77945),823.1753578828743,1,1,-1,-1,-1,,"LINESTRING (-122.4224915 37.7823391, -122.413879 37.77945)",auto,1,True
POINT (-122.4228807 37.7771541)_POINT (-122.413879 37.77945),,POINT (-122.4228807 37.7771541),POINT (-122.413879 37.77945),832.2345521690911,1,1,-1,-1,-1,,"LINESTRING (-122.4228807 37.7771541, -122.413879 37.77945)",auto,1,True
