zone_id,geometry
1315,Point (-121.99783647 38.36208846)
1316,Point (-121.80147594 38.42285847)
1317,Point (-121.84396798 38.44288708)
1318,Point (-121.81974424 38.44320796)
1319,Point (-121.77796556 38.20426358)
1320,Point (-122.43171318 38.21611202)
1321,Point (-122.45907099 38.28088737)
1322,Point (-122.44047474 38.31871646)
1323,Point (-122.47520114 38.33606145)
1324,Point (-122.52457728 38.30001078)
1325,Point (-122.49139303 38.30660414)
1326,Point (-122.53177489 38.38541881)
1327,Point (-122.61432931 38.23756081)
1328,Point (-122.60798069 38.24396961)
1329,Point (-122.61838603 38.25474042)
1330,Point (-122.64447111 38.27295196)
1331,Point (-122.54777285 38.21845015)
1332,Point (-122.63069723 38.2334235)
1333,Point (-122.62688288 38.20104569)
1334,Point (-122.66583005 38.20878518)
1335,Point (-122.64374606 38.24745885)
1336,Point (-122.65433707 38.24432581)
1337,Point (-122.68100069 38.25761009)
1338,Point (-122.75389459 38.26437573)
1339,Point (-122.70417729 38.31722701)
1340,Point (-122.69451136 38.32213357)
1341,Point (-122.70830015 38.31829543)
1342,Point (-122.70136511 38.33405653)
1343,Point (-122.70776562 38.34332924)
1344,Point (-122.69435192 38.34708696)
1345,Point (-122.70053603 38.37026922)
1346,Point (-122.70092665 38.35613204)
1347,Point (-122.63514952 38.34404364)
1348,Point (-122.68362665 38.33921868)
1349,Point (-122.67788314 38.32586151)
1350,Point (-122.68874277 38.40825405)
1351,Point (-122.70657602 38.39760722)
1352,Point (-122.65585818 38.38954306)
1353,Point (-122.62965083 38.41227114)
1354,Point (-122.66865087 38.43591281)
1355,Point (-122.57650709 38.44678901)
1356,Point (-122.66642641 38.45091443)
1357,Point (-122.69249199 38.44260724)
1358,Point (-122.70933544 38.43496851)
1359,Point (-122.71420869 38.44144184)
1360,Point (-122.72379051 38.4590716)
1361,Point (-122.71388893 38.45680501)
1362,Point (-122.67630409 38.46688075)
1363,Point (-122.70809092 38.44813267)
1364,Point (-122.70020775 38.45993301)
1365,Point (-122.70829764 38.48564536)
1366,Point (-122.65780217 38.465326)
1367,Point (-122.66506006 38.47824265)
