id,vehicle_trip_tripId,vehicle_trip_routeId,vehicle_trip_directionId,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_currentStopSequence,vehicle_currentStatus,vehicle_stopId,vehicle_timestamp,header_timestamp
RTVP:T:22654094,22654094,MLHD,1.0,4521,GR Senior Center,33.540062,-111.90864,180.0,24159.0,13.4112,14.0,INCOMING_AT,30314,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:T:22654176,22654176,MLHD,0.0,4511,Mustang TC,33.500553,-111.917465,0.0,18764.0,15.6464,16.0,INCOMING_AT,2996,2025-10-04 00:21:12,2025-10-04 00:21:46
RTVP:T:22654179,22654179,MLHD,0.0,4524,Mustang TC,33.575428,-111.90512,64.0,50626.0,13.4112,33.0,IN_TRANSIT_TO,30302,2025-10-04 00:21:21,2025-10-04 00:21:46
RTVP:T:22654303,22654303,MSTG,1.0,4512,Via Linda Senr Ctr,33.626278,-111.895134,151.0,4051.0,8.04672,4.0,INCOMING_AT,4711,2025-10-04 00:21:42,2025-10-04 00:21:46
RTVP:T:22654302,22654302,MSTG,1.0,4523,Via Linda Senr Ctr,33.573715,-111.86488,61.0,40496.0,4.4704,29.0,INCOMING_AT,909,2025-10-04 00:21:18,2025-10-04 00:21:46
RTVP:T:22654268,22654268,MSTG,0.0,4513,Nsight+Raintree,33.57588,-111.855415,7.0,7.0,0.0,1.0,STOPPED_AT,30438,2025-10-04 00:21:29,2025-10-04 00:21:46
RTVP:T:22654267,22654267,MSTG,0.0,4502,Nsight+Raintree,33.600666,-111.87829,13.0,24859.0,13.85824,16.0,INCOMING_AT,2705,2025-10-04 00:21:42,2025-10-04 00:21:46
RTVP:V:6719,,,,6719,,33.386265,-111.838356,270.0,15677.0,5.81152,,,,2025-10-04 00:21:34,2025-10-04 00:21:46
RTVP:V:5131,,,,5131,,33.466526,-112.20347,183.0,11453.0,0.0,,,,2025-10-04 00:21:27,2025-10-04 00:21:46
RTVP:V:6829,,,,6829,,33.43044,-111.96952,24.0,34422.0,0.0,,,,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:V:5351,,,,5351,,33.47533,-112.18647,180.0,5436.0,12.07008,,,,2025-10-04 00:21:29,2025-10-04 00:21:46
RTVP:V:7322,,,,7322,,33.427414,-112.048416,270.0,76574.0,8.9408,,,,2025-10-04 00:21:35,2025-10-04 00:21:46
RTVP:V:6787,,,,6787,,33.474007,-111.73861,163.0,40233.0,0.0,,,,2025-10-04 00:21:24,2025-10-04 00:21:46
RTVP:V:5336,,,,5336,,33.461876,-112.094055,269.0,33229.0,16.98752,,,,2025-10-04 00:21:16,2025-10-04 00:21:46
RTVP:V:6728,,,,6728,,33.40511,-111.96812,335.0,12743.0,22.352,,,,2025-10-04 00:21:17,2025-10-04 00:21:46
RTVP:V:6732,,,,6732,,33.43065,-111.97141,182.0,20149.0,0.0,,,,2025-10-04 00:21:32,2025-10-04 00:21:46
RTVP:V:5652,,,,5652,,33.58779,-112.101585,173.0,54449.0,0.0,,,,2025-10-04 00:21:21,2025-10-04 00:21:46
RTVP:V:7022,,,,7022,,33.58912,-112.255066,359.0,45774.0,17.43456,,,,2025-10-04 00:21:37,2025-10-04 00:21:46
RTVP:V:8077,,,,8077,,33.3864,-111.7996,269.0,33151.0,23.24608,,,,2025-10-04 00:21:28,2025-10-04 00:21:46
RTVP:V:5169,,,,5169,,33.4062,-112.090515,358.0,33997.0,0.0,,,,2025-10-04 00:21:31,2025-10-04 00:21:46
RTVP:V:7181,,,,7181,,33.41115,-112.09947,359.0,24171.0,15.19936,,,,2025-10-04 00:21:31,2025-10-04 00:21:46
RTVP:V:8103,,,,8103,,33.465984,-112.16846,269.0,4994.0,1.34112,,,,2025-10-04 00:21:30,2025-10-04 00:21:46
