stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7-413,882384,VALLEY TRAILS DR & PLATT CT,,37.677669,-121.907782,,,,,,0
7-414,882385,VALLEY TRAILS DR & HOT SPRINGS CT,,37.673977,-121.909793,,,,,,0
7-415,882386,VALLEY TRAILS DR & HOPYARD RD,,37.676878,-121.90089,,,,,,0
8-411,882387,MOHR AVE & KOLLN ST,,37.681882,-121.873686,,,,,,0
8-412,882388,KAMP DR & MOHR AVE, Unit NB,37.68243,-121.868873,,,,,,0
8-413,882389,KAMP DR & CAMERON AVE,,37.684973,-121.868151,,,,,,0
8-414,882390,KAMP DR & EILENE DR,,37.688549,-121.869926,,,,,,0
8-415,882391,STONERIDGE DR & NIELSEN PARK WB,,37.688415,-121.872202,,,,,,0
8-420,882392,TOURIGA DR & TAWNY DR,TOURIGA DR & CHARDONNAY DR,37.663575,-121.85237,,,,,,0
8-421,882393,RHINE WY &  ARBOR DR,RHINE WAY & ARBOR DR,37.656942,-121.844269,,,,,,0
8-422,882394,ARBOR DR & VINTAGE HILLS PARK,,37.656998,-121.850439,,,,,,0
8-423,882395,ARBOR DR & TOURIGA DR,,37.657838,-121.852785,,,,,,0
8-425,882397,VINEYARD AVE & VINEYARD PL,,37.662957,-121.861275,,,,,,0
8-430,882399,PIMLICO DR & SANTA RITA RD,,37.70019,-121.870084,,,,,,0
8-431,882400,PIMLICO DR & BROCKTON DR,,37.700138,-121.869052,,,,,,0
8-432,882401,PIMLICO DR & BELMONT WY,,37.70091,-121.86688,,,,,,0
8-433,882402,3798 PIMLICO DR,,37.700934,-121.86398,,,,,,0
8-434,882403,KIRCALDY ST & STACEY WY,,37.699885,-121.859934,,,,,,0
8-435,882404,LAS POSITAS BLVD & MEADOWS PARK,,37.69679,-121.858538,,,,,,0
8-436,882405,LAS POSITAS BLVD  & MELBOURNE CT,,37.695608,-121.859737,,,,,,0
8-437,882406,LAS POSITAS BLVD & GULFSTREAM ST,,37.695386,-121.865289,,,,,,0
8-438,882407,LAS POSITAS BLVD & ROCKINGHAM DR,,37.693974,-121.868661,,,,,,0
8-440,882409,LAS POSITAS BLVD & FAIRLANDS SCHOOL,0 W LAS POSITAS BLVD & SUFFOLK WAY,37.691851,-121.874096,,,,,,0
7-416,882412,REGENCY DR & MEADOWLARK PARK,,37.664684,-121.91046,,,,,,0
1-408,882420,RANCHO LAS POSITAS SCHOOL,,37.688978,-121.796548,,,,,,0
1-409,882421,JACK LONDON BLVD & TURINO ST,E JACK LONDON BLVD & TROY ST,37.688925,-121.793199,,,,,,0
8-416,882424,STONERIDGE DR & SANTA RITA RD, Unit WB,37.688205,-121.876318,,,,,,0
6-045,882478,FALLON RD & BENT TREE DR,,37.715639,-121.854542,,,,,,0
7-261,882481,DUBLIN RANCH DR & OAK BLUFF LN,N DUBLIN RANCH DR & GROVELAND LN,37.719551,-121.865228,,,,,,0
7-268,882484,TASSAJARA RD & GLEASON DR,TASSAJARA RD & N DUBLIN RANCH DR,37.713357,-121.872227,,,,,,0
8-193,882489,PASEO SANTA CRUZ & VALLEY AVE,,37.666753,-121.898752,,,,,,0
8-418,882490,DENNIS DR & TREVOR PKWY,,37.692501,-121.857259,,,,,,0
8-419,882491,DENNIS DR & GUZMAN PKWY,,37.692764,-121.862347,,,,,,0
8-417,882492,STONERIDGE DR & STONE POINTE WY,STONERIDGE DR & NEWTON WAY,37.690488,-121.868712,,,,,,0
6-020,882494,CENTRAL PKWY & HACIENDA DR,,37.708957,-121.889426,,,,,,0
6-021,882495,CENTRAL PKWY & SYBASE DR,,37.70887,-121.891,,,,,,0
8-135,882496,STONERIDGE DR & RIALTO WY,,37.691885,-121.889095,,,,,,0
7-032,882497,STONERIDGE MALL RD & MC WILLIAMS LN,STONERIDGE MALL RD & MCWILLIAMS LN,37.692924,-121.92373,,,,,,0
8-136,882501,STONERIDGE DR & GIBRALTAR DR,,37.692166,-121.890814,,,,,,0
8-137,882502,STONERIDGE DR & COURTHOUSE,,37.690618,-121.887959,,,,,,0
8-997,882573,MARTIN AVE & MOHR AVE, Unit WB,37.682241,-121.862679,,,,,,0
8-996,882575,MARTIN AVE & MOHR AVE, Unit EB,37.682243,-121.86259,,,,,,0
