name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
3195,1000103,1000103,-122.411032,37.779327,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.411032 37.779327),0,,
3196,1000104,1000104,-122.412395,37.780309,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.412395 37.780309),0,,
3201,1000105,1000105,-122.465808,37.773639,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465808 37.773639),0,,
3202,1000106,1000106,-122.46598,37.773478,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.46598 37.773478),0,,
3203,1000107,1000107,-122.405386,37.771179,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.405386 37.771179),0,,
3204,1000108,1000108,-122.406932,37.772447,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.406932 37.772447),0,,
3205,1000109,1000109,-122.409922,37.774767,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.409922 37.774767),0,,
3206,1000110,1000110,-122.408376,37.773536,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.408376 37.773536),0,,
3208,1000111,1000111,-122.413027,37.77724,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.413027 37.77724),0,,
3209,1000112,1000112,-122.414597,37.778498,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.414597 37.778498),0,,
3211,1000113,1000113,-122.466241,37.764288,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466241 37.764288),0,,
3213,1000114,1000114,-122.46639,37.763797,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.46639 37.763797),0,,
3214,1000115,1000115,-122.46608,37.762093,3,43,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.46608 37.762093),0,,
3215,1000116,1000116,-122.466241,37.76204,3,43,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466241 37.76204),0,,
3216,1000117,1000117,-122.466149,37.760407,3,43,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466149 37.760407),0,,
3217,1000118,1000118,-122.465954,37.760237,3,43,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465954 37.760237),0,,
3218,1000119,1000119,-122.466022,37.758533,3,43,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466022 37.758533),0,,
3219,1000120,1000120,-122.465827,37.758364,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465827 37.758364),0,,
3220,1000121,1000121,-122.466345,37.76585,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466345 37.76585),0,,
3221,1000122,1000122,-122.466517,37.765689,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466517 37.765689),0,,
3222,1000123,1000123,-122.465884,37.756677,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465884 37.756677),0,,
3223,1000124,1000124,-122.465689,37.756508,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465689 37.756508),0,,
3224,1000125,1000125,-122.465758,37.754804,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465758 37.754804),0,,
3225,1000126,1000126,-122.465551,37.754634,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465551 37.754634),0,,
3226,1000127,1000127,-122.465631,37.752939,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.465631 37.752939),0,,
3229,1000128,1000128,-122.370063,37.825196,3,25,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.370063 37.825196),0,,
3230,1000129,1000129,-122.466502,37.752724,3,6,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.466502 37.752724),0,,
