trip_id,stop_id,arrival_time,departure_time,stop_sequence,continuous_pickup,continuous_drop_off,start_service_area_radius,end_service_area_radius,departure_buffer
800060-SCH-1909-Blocking-Weekday-30,755000,15:32:00,15:32:00,1,-999,-999,-999.0,-999.0,0
800060-SCH-1909-Blocking-Weekday-30,755009,15:42:00,15:42:00,2,-999,-999,-999.0,-999.0,0
800061-SCH-1909-Blocking-Weekday-30,755009,15:42:00,15:42:00,1,-999,-999,-999.0,-999.0,0
800061-SCH-1909-Blocking-Weekday-30,755000,15:52:00,15:52:00,2,-999,-999,-999.0,-999.0,0
800062-SCH-1909-Blocking-Weekday-30,755000,15:54:00,15:54:00,1,-999,-999,-999.0,-999.0,0
800062-SCH-1909-Blocking-Weekday-30,755009,16:04:00,16:04:00,2,-999,-999,-999.0,-999.0,0
800063-SCH-1909-Blocking-Weekday-30,755009,16:04:00,16:04:00,1,-999,-999,-999.0,-999.0,0
800063-SCH-1909-Blocking-Weekday-30,755000,16:14:00,16:14:00,2,-999,-999,-999.0,-999.0,0
800064-SCH-1909-Blocking-Weekday-30,755000,16:16:00,16:16:00,1,-999,-999,-999.0,-999.0,0
800064-SCH-1909-Blocking-Weekday-30,755009,16:26:00,16:26:00,2,-999,-999,-999.0,-999.0,0
800065-SCH-1909-Blocking-Weekday-30,755009,16:26:00,16:26:00,1,-999,-999,-999.0,-999.0,0
800065-SCH-1909-Blocking-Weekday-30,755000,16:36:00,16:36:00,2,-999,-999,-999.0,-999.0,0
800066-SCH-1909-Blocking-Weekday-30,755000,16:38:00,16:38:00,1,-999,-999,-999.0,-999.0,0
800066-SCH-1909-Blocking-Weekday-30,755009,16:48:00,16:48:00,2,-999,-999,-999.0,-999.0,0
800067-SCH-1909-Blocking-Weekday-30,755009,16:48:00,16:48:00,1,-999,-999,-999.0,-999.0,0
800067-SCH-1909-Blocking-Weekday-30,755000,16:58:00,16:58:00,2,-999,-999,-999.0,-999.0,0
800068-SCH-1909-Blocking-Weekday-30,755000,17:00:00,17:00:00,1,-999,-999,-999.0,-999.0,0
800068-SCH-1909-Blocking-Weekday-30,755009,17:10:00,17:10:00,2,-999,-999,-999.0,-999.0,0
800069-SCH-1909-Blocking-Weekday-30,755009,17:10:00,17:10:00,1,-999,-999,-999.0,-999.0,0
800069-SCH-1909-Blocking-Weekday-30,755000,17:20:00,17:20:00,2,-999,-999,-999.0,-999.0,0
800070-SCH-1909-Blocking-Weekday-30,755000,17:20:00,17:20:00,1,-999,-999,-999.0,-999.0,0
800070-SCH-1909-Blocking-Weekday-30,755009,17:30:00,17:30:00,2,-999,-999,-999.0,-999.0,0
800071-SCH-1909-Blocking-Weekday-30,755009,17:30:00,17:30:00,1,-999,-999,-999.0,-999.0,0
800071-SCH-1909-Blocking-Weekday-30,755000,17:40:00,17:40:00,2,-999,-999,-999.0,-999.0,0
800072-SCH-1909-Blocking-Weekday-30,755000,17:40:00,17:40:00,1,-999,-999,-999.0,-999.0,0
800072-SCH-1909-Blocking-Weekday-30,755009,17:50:00,17:50:00,2,-999,-999,-999.0,-999.0,0
800073-SCH-1909-Blocking-Weekday-30,755009,17:50:00,17:50:00,1,-999,-999,-999.0,-999.0,0
800073-SCH-1909-Blocking-Weekday-30,755000,18:00:00,18:00:00,2,-999,-999,-999.0,-999.0,0
800074-SCH-1909-Blocking-Weekday-30,755000,18:00:00,18:00:00,1,-999,-999,-999.0,-999.0,0
800074-SCH-1909-Blocking-Weekday-30,755009,18:10:00,18:10:00,2,-999,-999,-999.0,-999.0,0
800075-SCH-1909-Blocking-Weekday-30,755009,18:10:00,18:10:00,1,-999,-999,-999.0,-999.0,0
800075-SCH-1909-Blocking-Weekday-30,755000,18:20:00,18:20:00,2,-999,-999,-999.0,-999.0,0
800076-SCH-1909-Blocking-Weekday-30,755000,18:20:00,18:20:00,1,-999,-999,-999.0,-999.0,0
800076-SCH-1909-Blocking-Weekday-30,755009,18:30:00,18:30:00,2,-999,-999,-999.0,-999.0,0
800077-SCH-1909-Blocking-Weekday-30,755009,18:30:00,18:30:00,1,-999,-999,-999.0,-999.0,0
800077-SCH-1909-Blocking-Weekday-30,755000,18:40:00,18:40:00,2,-999,-999,-999.0,-999.0,0
800078-SCH-1909-Blocking-Weekday-30,755000,18:40:00,18:40:00,1,-999,-999,-999.0,-999.0,0
800078-SCH-1909-Blocking-Weekday-30,755009,18:50:00,18:50:00,2,-999,-999,-999.0,-999.0,0
800079-SCH-1909-Blocking-Weekday-30,755009,18:50:00,18:50:00,1,-999,-999,-999.0,-999.0,0
800079-SCH-1909-Blocking-Weekday-30,755000,19:00:00,19:00:00,2,-999,-999,-999.0,-999.0,0
800080-SCH-1909-Blocking-Weekday-30,755000,19:00:00,19:00:00,1,-999,-999,-999.0,-999.0,0
800080-SCH-1909-Blocking-Weekday-30,755009,19:10:00,19:10:00,2,-999,-999,-999.0,-999.0,0
800081-SCH-1909-Blocking-Weekday-30,755009,19:10:00,19:10:00,1,-999,-999,-999.0,-999.0,0
800081-SCH-1909-Blocking-Weekday-30,755000,19:20:00,19:20:00,2,-999,-999,-999.0,-999.0,0
800082-SCH-1909-Blocking-Weekday-30,755000,19:20:00,19:20:00,1,-999,-999,-999.0,-999.0,0
800082-SCH-1909-Blocking-Weekday-30,755009,19:30:00,19:30:00,2,-999,-999,-999.0,-999.0,0
800083-SCH-1909-Blocking-Weekday-30,755009,19:30:00,19:30:00,1,-999,-999,-999.0,-999.0,0
800083-SCH-1909-Blocking-Weekday-30,755000,19:40:00,19:40:00,2,-999,-999,-999.0,-999.0,0
800084-SCH-1909-Blocking-Weekday-30,755000,19:40:00,19:40:00,1,-999,-999,-999.0,-999.0,0
800084-SCH-1909-Blocking-Weekday-30,755009,19:50:00,19:50:00,2,-999,-999,-999.0,-999.0,0
800085-SCH-1909-Blocking-Weekday-30,755009,19:50:00,19:50:00,1,-999,-999,-999.0,-999.0,0
800085-SCH-1909-Blocking-Weekday-30,755000,20:00:00,20:00:00,2,-999,-999,-999.0,-999.0,0
800086-SCH-1909-Blocking-Weekday-30,755000,20:00:00,20:00:00,1,-999,-999,-999.0,-999.0,0
800086-SCH-1909-Blocking-Weekday-30,755009,20:10:00,20:10:00,2,-999,-999,-999.0,-999.0,0
800087-SCH-1909-Blocking-Weekday-30,755009,20:10:00,20:10:00,1,-999,-999,-999.0,-999.0,0
800087-SCH-1909-Blocking-Weekday-30,755000,20:20:00,20:20:00,2,-999,-999,-999.0,-999.0,0
800088-SCH-1909-Blocking-Weekday-30,755000,20:20:00,20:20:00,1,-999,-999,-999.0,-999.0,0
800088-SCH-1909-Blocking-Weekday-30,755009,20:30:00,20:30:00,2,-999,-999,-999.0,-999.0,0
