timetable_id,stop_id,stop_sequence,stop_name,connected_routes
2183,2517386,9,Guerneville Library,"28/Guerneville, Monte Rio"
2183,2517387,10,Russian River Senior Center,"28/Guerneville, Monte Rio"
2183,757316,11,Beach/ Orchard,"28/Guerneville, Monte Rio"
2183,757865,12,Guerneville (Bank of America),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
2183,757870,13,Monte Rio & Hwy 116,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
2183,2555755,14,Duncans Mills (Westbound),"28/Guerneville, Monte Rio"
2183,757302,15,Moscow Rd & Casini Ranch,"28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
2183,757300,16,Villa Grande,"28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
2183,757872,17,Main St & Starett Hill Rd,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 28/Guerneville, Monte Rio"
2183,757873,18,Camp Meeker (Bohemian Hwy & Market),"28/Guerneville, Monte Rio"
2183,757296,19,Occidental (Bohemian Hwy & Hill St),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 28/Guerneville, Monte Rio"
2188,757277,1,Coddingtown,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector"
2188,757284,2,County Admin Center (Ventura Ave),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 57/Kaiser, County Center, SRJC Shuttle, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa"
2188,757291,3,Santa Rosa Junior College,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 44X/Santa Rosa, Rohnert Park, Petaluma, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 57/Kaiser, County Center, SRJC Shuttle, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Santa Rosa, County Airport"
2188,757068,4,Santa Rosa Transit Mall,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 22/Sebastopol, Santa Rosa, 29A/Santa Rosa - Sonoma Coast, 29B/Guerneville - Sonoma Coast, 30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 42/Santa Rosa, Industry West Business Park, 44/Petaluma, JC, SSU, Santa Rosa, 44X/Santa Rosa, Rohnert Park, Petaluma, 46/Santa Rosa, Sonoma State University, Cotati Depot, 48/Santa Rosa, Rohnert Park, Cotati, Petaluma, 48X/Santa Rosa, Rohnert Park, Cotati, Petaluma, 54/South County Connector, 60/Cloverdale, Healdsburg, Windsor, Santa Rosa, 60X/Cloverdale, Healdsburg, Windsor, Santa Rosa, 62/Santa Rosa, County Airport"
2188,757381,5,Memorial Hospital,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma"
2188,757383,6,Montgomery Village,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma"
2188,757392,7,St Francis Ctr (Hwy 12 & Calistoga Rd),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma"
2188,757400,8,Oakmont Dr & White Oak,"30/Santa Rosa, Sonoma Valley"
2188,757404,9,Ac Oakmont Golf Course,"30/Santa Rosa, Sonoma Valley"
2188,757405,10,Valley Oaks & Pythian Rd,"30/Santa Rosa, Sonoma Valley"
2188,757409,11,Los Guilicos,"30/Santa Rosa, Sonoma Valley"
2188,757413,12,Kenwood (Hwy 12 & Greene St),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2188,757420,13,Glen Ellen (Arnold Dr & London Ranch Rd),"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2188,757422,14,Sonoma Dev Center,"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2188,757426,15,Hanna Boys Center,"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2188,757432,16,Boyes Hot Springs,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2188,757442,17,El Verano (Verano Ave & Bay St),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2188,757448,18,5th St W & W Napa,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2188,757457,19,Sonoma Plaza,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael, 40/Sonoma, Petaluma, 53/East County Connector"
2188,757728,20,Sonoma Mtn Pkwy (Petaluma SRJC),"30/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa"
2188,2329762,21,Camino Colegio & Manchester (Ac Credo HS),"26/Sebastopol, Cotati, Rohnert Park, 30/Santa Rosa, Sonoma Valley, 44/Petaluma, JC, SSU, Santa Rosa, 46/Santa Rosa, Sonoma State University, Cotati Depot"
